DateTime,Open,High,Low,Close,Volume(from bar)
11-02-2025 06:50:00 -05:00,21758.5,21759.5,21756,21759,198
11-02-2025 06:55:00 -05:00,21759,21765.25,21758,21763.75,393
11-02-2025 07:00:00 -05:00,21763.25,21770,21737,21740,1418
11-02-2025 07:05:00 -05:00,21741.25,21746,21737.25,21744.5,422
11-02-2025 07:10:00 -05:00,21745,21749.75,21740,21742.5,489
11-02-2025 07:15:00 -05:00,21743,21752.25,21741.75,21748,359
11-02-2025 07:20:00 -05:00,21747.5,21753,21737.25,21750.25,548
11-02-2025 07:25:00 -05:00,21749.5,21754,21732.5,21735.5,916
11-02-2025 07:30:00 -05:00,21735.75,21746.75,21729,21745.25,565
11-02-2025 07:35:00 -05:00,21745.75,21747.25,21740.75,21744.5,356
11-02-2025 07:40:00 -05:00,21745,21751.25,21743.25,21748,414
11-02-2025 07:45:00 -05:00,21747.5,21756.5,21744.75,21755.5,529
11-02-2025 07:50:00 -05:00,21754.5,21758.75,21740.25,21744.25,773
11-02-2025 07:55:00 -05:00,21744.5,21750,21738.75,21749,513
11-02-2025 08:00:00 -05:00,21748.5,21754.25,21743.75,21752.25,572
11-02-2025 08:05:00 -05:00,21751.25,21753.75,21742.5,21742.75,410
11-02-2025 08:10:00 -05:00,21743.5,21745,21739.25,21741.75,483
11-02-2025 08:15:00 -05:00,21741,21741,21729.25,21733.25,884
11-02-2025 08:20:00 -05:00,21732.75,21732.75,21711,21719.5,1980
11-02-2025 08:25:00 -05:00,21719.25,21721.75,21706.75,21716,1426
11-02-2025 08:30:00 -05:00,21716,21727.75,21715.5,21725.75,1112
11-02-2025 08:35:00 -05:00,21724.5,21728.5,21715.25,21723.25,898
11-02-2025 08:40:00 -05:00,21723.5,21733,21716.25,21721.5,1148
11-02-2025 08:45:00 -05:00,21720.5,21724.25,21702.25,21705.25,1280
11-02-2025 08:50:00 -05:00,21705.75,21712.5,21696.25,21700.75,1926
11-02-2025 08:55:00 -05:00,21700.5,21701,21672.5,21676,2973
11-02-2025 09:00:00 -05:00,21675.5,21702,21669.5,21693.5,3723
11-02-2025 09:05:00 -05:00,21693,21709.75,21686.75,21697.75,1998
11-02-2025 09:10:00 -05:00,21697.5,21704,21689.75,21701.5,1351
11-02-2025 09:15:00 -05:00,21701.75,21705.75,21692.25,21701.5,1487
11-02-2025 09:20:00 -05:00,21701.5,21706.75,21689.25,21692.5,1163
11-02-2025 09:25:00 -05:00,21693,21709.25,21691,21705.5,2592
11-02-2025 09:30:00 -05:00,21706,21779.75,21700.75,21774.25,14484
11-02-2025 09:35:00 -05:00,21774.25,21796.5,21769,21781.5,9106
11-02-2025 09:40:00 -05:00,21781.5,21793.25,21767.5,21789.75,5714
11-02-2025 09:45:00 -05:00,21789.75,21794.5,21776.25,21778,4728
11-02-2025 09:50:00 -05:00,21778,21806,21776.5,21786.5,6369
11-02-2025 09:55:00 -05:00,21786.25,21795.75,21771.5,21777.75,4656
11-02-2025 10:00:00 -05:00,21777.5,21819.75,21761,21783.5,9973
11-02-2025 10:05:00 -05:00,21782.5,21796.75,21766,21796,6118
11-02-2025 10:10:00 -05:00,21796.5,21805.75,21782.25,21800.5,4430
11-02-2025 10:15:00 -05:00,21800.5,21814.75,21798.5,21802.75,4406
11-02-2025 10:20:00 -05:00,21802.25,21816,21785,21808.5,5064
11-02-2025 10:25:00 -05:00,21808.5,21845.25,21803.5,21838.25,7885
11-02-2025 10:30:00 -05:00,21838.5,21849.75,21830.25,21833.75,5150
11-02-2025 10:35:00 -05:00,21833.25,21839.25,21824.5,21834.5,4306
11-02-2025 10:40:00 -05:00,21834.25,21852.75,21829.75,21850,3442
11-02-2025 10:45:00 -05:00,21850.25,21867.25,21849.25,21861.25,5874
